,variable,sql_condition,m_probability,u_probability,1-u
0,first_name,Exact match first_name,0.5982486986054247,0.0057935713975033705,0.9942064286024966
1,first_name,Damerau_levenshtein <= 1,0.19246607422330256,0.00236614327345483,0.9976338567265451
2,first_name,Jaro_winkler_similarity >= 0.9,0.03980655268690785,0.001296159366708712,0.9987038406332913
3,first_name,Jaro_winkler_similarity >= 0.8,0.08311528172072083,0.005677583982137938,0.9943224160178621
4,first_name,All other comparisons,0.08636339276364402,0.9848665419801952,0.015133458019804813
5,surname,Exact match surname,0.4930776869737744,0.004889975550122249,0.9951100244498777
6,surname,Damerau_levenshtein <= 1,0.24538815249442075,0.0027554624131641246,0.9972445375868358
7,surname,Jaro_winkler_similarity >= 0.9,0.054986118884845635,0.0010090425738347498,0.9989909574261653
8,surname,Jaro_winkler_similarity >= 0.8,0.06294312719986885,0.003710768991942586,0.9962892310080574
9,surname,All other comparisons,0.14360491444709034,0.9876347504709363,0.012365249529063704
10,dob,Exact match,0.39490883511462715,0.0017477477477477479,0.9982522522522522
11,dob,Damerau_levenshtein <= 1,0.11495079633688085,0.0016436436436436436,0.9983563563563563
12,dob,Within 1 month,0.11641268898801807,0.003833833833833834,0.9961661661661662
13,dob,Within 1 year,0.17707658837854348,0.05062662662662663,0.9493733733733734
14,dob,Within 10 years,0.1928085846819944,0.3037037037037037,0.6962962962962963
15,dob,All other comparisons,0.003842506499936071,0.6384444444444445,0.3615555555555555
16,city,Exact match,0.5730163201170047,0.0551475711801453,0.9448524288198547
17,city,All other comparisons,0.42698367988299535,0.9448524288198547,0.05514757118014535
18,email,Exact match email,0.5439723479635568,0.0021938713143283602,0.9978061286856716
19,email,Exact match email,0.2288637259151194,0.0010390328952024346,0.9989609671047975
20,email,Jaro_winkler_similarity email >= 0.88,0.21485163724772044,0.0009135769109519858,0.999086423089048
21,email,All other comparisons,0.012312288873603531,0.9958535188795172,0.00414648112048277
