,variable,sql_condition,m_probability,u_probability,1-u
0,first_name,Exact match first_name,0.5594209913381578,0.014033346118268168,0.9859666538817319
1,first_name,Damerau_levenshtein <= 1,0.09572832828400318,0.002885840103537462,0.9971141598964626
2,first_name,Jaro_winkler_similarity >= 0.9,0.04142333705531497,0.002479730408796582,0.9975202695912034
3,first_name,Jaro_winkler_similarity >= 0.8,0.10461197916034509,0.005183026255607083,0.9948169737443929
4,first_name,All other comparisons,0.19881536416217901,0.9754180571137907,0.024581942886209296
5,surname,Exact match surname,0.7848312273780177,0.0007721979987501168,0.9992278020012498
6,surname,Damerau_levenshtein <= 1,0.13737632229146973,0.0003591618598837752,0.9996408381401162
7,surname,Jaro_winkler_similarity >= 0.9,0.010892516190186352,0.0003052875809012089,0.9996947124190988
8,surname,Jaro_winkler_similarity >= 0.8,0.016089873529378608,0.0033473885341167853,0.9966526114658832
9,surname,All other comparisons,0.05081006061094759,0.9952159640263482,0.004784035973651846
10,dob,Exact match,0.7117517233181324,0.0020298386278290877,0.9979701613721709
11,dob,Damerau_levenshtein <= 1,0.2721042558439874,0.02166952237101072,0.9783304776289893
12,dob,Within 1 month,0.0028402022369122845,0.0037830619916697015,0.9962169380083303
13,dob,Within 1 year,0.004159710313598853,0.04803553411621423,0.9519644658837858
14,dob,Within 10 years,0.006601811798883432,0.23708515173043743,0.7629148482695626
15,dob,All other comparisons,0.002542296488485684,0.6873968911628389,0.31260310883716114
16,birth_place,Exact match,0.845842883982016,0.005763983151649151,0.9942360168483508
17,birth_place,Jaro_winkler_similarity >= 0.9,0.0077529833810233845,0.00018471613887295168,0.9998152838611271
18,birth_place,Jaro_winkler_similarity >= 0.7,0.00974879960169768,0.012995899861462896,0.9870041001385371
19,birth_place,All other comparisons,0.13665533303526295,0.981055400848015,0.018944599151984987
