,variable,sql_condition,m_probability,u_probability,1-u
0,first_name,Exact match first_name,0.5522553730634525,0.013344079622876526,0.9866559203771235
1,first_name,Damerau_levenshtein <= 1,0.10281275215869701,0.003327851273465015,0.996672148726535
2,first_name,Jaro_winkler_similarity >= 0.9,0.04079779123078155,0.003009027081243731,0.9969909729187563
3,first_name,Jaro_winkler_similarity >= 0.8,0.09885084635192992,0.005080394193439153,0.9949196058065608
4,first_name,All other comparisons,0.2052832371951391,0.9752386478289756,0.024761352171024376
5,surname,Exact match surname,0.795195098459631,0.000633023958962262,0.9993669760410377
6,surname,Damerau_levenshtein <= 1,0.1316507303062653,0.00043293690354165786,0.9995670630964584
7,surname,Jaro_winkler_similarity >= 0.9,0.012427435269849109,0.0003042259322184623,0.9996957740677815
8,surname,Jaro_winkler_similarity >= 0.8,0.01962950518257161,0.0030504500203597353,0.9969495499796402
9,surname,All other comparisons,0.04109723078168312,0.9955793631849179,0.004420636815082091
10,dob,Exact match,0.7082623279196992,0.0022815708459002046,0.9977184291540998
11,dob,Damerau_levenshtein <= 1,0.27044924887634786,0.023673250925911455,0.9763267490740886
12,dob,Within 1 month,0.004142444231411927,0.003979075182447531,0.9960209248175524
13,dob,Within 1 year,0.0042519994497299,0.04466839086746574,0.9553316091325342
14,dob,Within 10 years,0.009263983087565049,0.2204470159866231,0.7795529840133769
15,dob,All other comparisons,0.003629996435246003,0.704950696191652,0.29504930380834804
16,birth_place,Exact match,0.8594126711205072,0.0055356633195817444,0.9944643366804182
17,birth_place,Jaro_winkler_similarity >= 0.9,0.006304624985175874,0.00018940868166368284,0.9998105913183363
18,birth_place,Jaro_winkler_similarity >= 0.7,0.007679835845734822,0.012770815495186943,0.987229184504813
19,birth_place,All other comparisons,0.12660286804858206,0.9815041125035676,0.018495887496432384
