,variable,sql_condition,m_probability,u_probability,1-u
0,first_name,Exact match first_name,0.5409804694991918,0.011912492978003722,0.9880875070219963
1,first_name,Damerau_levenshtein <= 1,0.0924647416915434,0.0029333019916572708,0.9970666980083427
2,first_name,Jaro_winkler_similarity >= 0.9,0.04283921891362142,0.0023406654262799953,0.99765933457372
3,first_name,Jaro_winkler_similarity >= 0.8,0.10639293816018731,0.005355641700896824,0.9946443582991031
4,first_name,All other comparisons,0.21732263173545602,0.9774578979031622,0.022542102096837824
5,surname,Exact match surname,0.7725633934292361,0.00062695171751141,0.9993730482824886
6,surname,Damerau_levenshtein <= 1,0.13734748436069955,0.0004227720393946673,0.9995772279606053
7,surname,Jaro_winkler_similarity >= 0.9,0.01294018503202774,0.00024861878453038676,0.9997513812154696
8,surname,Jaro_winkler_similarity >= 0.8,0.02023396460068406,0.0030951237088638,0.9969048762911362
9,surname,All other comparisons,0.05691497257735258,0.9956065337496998,0.0043934662503002375
10,dob,Exact match,0.7194203809965691,0.002282422048002735,0.9977175779519972
11,dob,Damerau_levenshtein <= 1,0.2682603642566284,0.024352957630476842,0.9756470423695232
12,dob,Within 1 month,0.001695019636014099,0.003848066448590143,0.9961519335514099
13,dob,Within 1 year,0.003447106617394087,0.04657889216090007,0.9534211078391
14,dob,Within 10 years,0.0056495390415986545,0.22885603064467253,0.7711439693553275
15,dob,All other comparisons,0.0015275894517955786,0.6940816310673577,0.30591836893264235
16,birth_place,Exact match,0.8369615416924618,0.005281158971428877,0.9947188410285711
17,birth_place,Jaro_winkler_similarity >= 0.9,0.007236172427032212,0.00025231017330638465,0.9997476898266936
18,birth_place,Jaro_winkler_similarity >= 0.7,0.009489858504779477,0.012547424967760366,0.9874525750322396
19,birth_place,All other comparisons,0.14631242737572644,0.9819191058875044,0.018080894112495582
